날짜,평균기온(℃),최저기온(℃),최고기온(℃)
2002-06-01,20.2,17.1,24.8
2002-06-02,22.9,15.3,30
2002-06-03,23.4,17.6,29.1
2002-06-04,22.4,18.2,27.6
2002-06-05,25.2,19.1,31.4
2002-06-06,25.9,21.2,31.2
2002-06-07,25.2,19.6,30.6
2002-06-08,22.1,19.4,27.1
2002-06-09,22.8,18.3,28
2002-06-10,22.4,20,26.6
2002-06-11,21.9,19,26.8
2002-06-12,18.6,16.6,22.9
2002-06-13,19.7,16,24.4
2002-06-14,20.4,16.4,25
2002-06-15,20.6,17.4,24.8
2002-06-16,22.4,15.7,28.6
2002-06-17,23.2,17.9,28.4
2002-06-18,23.4,19,28.9
2002-06-19,22.3,20.2,26.2
2002-06-20,22.2,19.2,26.1
2002-06-21,23.6,18.8,28.4
2002-06-22,23.7,18.9,29.2
2002-06-23,18.1,16.9,21.3
2002-06-24,16.4,15.3,17.7
2002-06-25,19.8,15.5,25
2002-06-26,20.9,14.5,27.7
2002-06-27,21.6,16.5,27.5
2002-06-28,23.6,17.4,30
2002-06-29,25.8,18.9,32
2002-06-30,26.3,22.4,31.5
